id,claim_id,bill_id,position,position_notes
1,4,1,for,"Claim supports banning phthalates/bisphenols in packaging"
2,5,1,for,"Claim supports banning phthalates/bisphenols in packaging"
3,6,1,for,"Claim supports banning phthalates/bisphenols in packaging"
4,7,1,for,"Claim supports banning phthalates/bisphenols in packaging"
5,1,4,neutral,"Scientific background on nanoplastics relevant to microplastics testing"
6,2,4,neutral,"Scientific background on nanoplastics relevant to microplastics testing"
7,3,4,neutral,"Scientific background on nanoplastics relevant to microplastics testing"
8,8,5,for,"Climate data supports need for flood mitigation"
9,9,5,for,"Climate data supports need for flood mitigation"
10,10,5,for,"Climate data supports need for flood mitigation"
11,11,5,for,"Climate data supports need for flood mitigation"
12,12,5,for,"Climate data supports need for flood mitigation"
13,13,5,for,"Climate data supports need for flood mitigation"
14,14,5,for,"Climate data supports need for flood mitigation"
15,15,5,for,"Climate data supports need for flood mitigation"
16,16,5,for,"Climate data supports need for flood mitigation"
