id,testimony_id,claim_text,claim_type,topic_tags,page_reference
1,1,"Nanoplastics can cross the blood-brain barrier",empirical,"nanoplastics,health,neurology",
2,1,"Nanoplastics have been found in human placental tissue",empirical,"nanoplastics,health,reproduction",
3,1,"Cardiovascular impacts observed in laboratory studies of nanoplastic exposure",empirical,"nanoplastics,health,cardiovascular",
4,2,"Phthalates are endocrine disruptors affecting human development",empirical,"phthalates,endocrine,health",
5,2,"CPSIA regulation successfully reduced phthalate exposure in children",empirical,"phthalates,regulation,policy-success",
6,2,"Ortho-phthalates should be regulated as a class, not individually",policy-recommendation,"phthalates,regulation",
7,2,"Bisphenols are endocrine disruptors that should be banned from food packaging",policy-recommendation,"bisphenols,endocrine,regulation",
8,4,"NJ temperatures have increased 3.5°F since 1900",empirical,"temperature,nj-specific,trends",
9,4,"Rate of warming has accelerated in recent decades",empirical,"temperature,acceleration",
10,4,"Human activities are the dominant cause of observed warming",causal,"attribution,anthropogenic",
11,5,"Storm surge modeling shows increasing risk for NJ coast",predictive,"storm-surge,nj-specific,risk",
12,5,"Sandy-level events will become more frequent with climate change",predictive,"sandy,frequency,climate-change",
13,5,"Sea level rise compounds storm surge impacts",causal,"sea-level,storm-surge,compounding",
14,6,"Beach nourishment provides cost-effective storm protection",empirical,"beaches,cost-benefit,protection",
15,6,"NJ beach investments prevented $1.3B in Sandy damages",empirical,"sandy,nj-specific,economic",
16,6,"Federal cost-share programs essential for coastal protection",policy-recommendation,"federal,funding,policy",
