"CommHouse","Date","Time","Type","Location","Comments","RevDate","Status","ModDate"
"A","1/12/2026","12:00 PM","Session","Assembly Chambers","Voting Session (Sine Die):",,"Scheduled",1/6/2026 15:23:00
"A","1/13/2026","12:00 PM","Session","War Memorial","Reorganization of the Assembly for the 222nd Legislature",,"Scheduled",1/10/2026 11:34:00
"A","1/14/2025","03:00 PM","Quorum","Assembly Chambers",,,"Scheduled",1/9/2025 12:41:00
"A","1/16/2025","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (A) Scheduled to meet
2:00 PM: Committee Group (B) Scheduled to meet",,"Scheduled",1/10/2025 13:28:00
"A","1/2/2026","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",12/30/2025 16:37:00
"A","1/23/2025","01:00 PM","Quorum","Assembly Chambers","Immediately following quorum, Assemblywoman-select Melinda Kane and Assemblyman-select Alaa Abdelaziz will be sworn in as Members of the General Assembly.
10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",1/21/2025 12:07:00
"A","1/27/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",1/22/2025 16:56:00
"A","1/29/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (A) Scheduled to meet
2:00 PM: Committee Group (B) Scheduled to meet",,"Scheduled",1/24/2024 14:32:00
"A","1/30/2025","01:00 PM","Session","Assembly Chambers","Assemblyman-select Balvir Singh will be sworn in as a Member of the General Assembly.
Election of Speaker Pro Tempore of the General Assembly.
Voting Session:",,"Scheduled",1/28/2025 10:39:00
"A","1/5/2026","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",12/30/2025 16:51:00
"A","1/8/2026","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",1/2/2026 17:16:00
"A","1/9/2024","12:00 PM","Session","The War Memorial","Reorganization",,"Scheduled",1/3/2024 16:07:00
"A","10/17/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (A) Scheduled to meet
2:00 PM: Committee Group (B) Scheduled to meet",,"Scheduled",10/16/2024 13:10:00
"A","10/21/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",10/16/2024 13:09:00
"A","10/24/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",10/18/2024 14:20:00
"A","10/28/2024","01:00 PM","Session","Assembly Chambers","Voting Session:",,"Scheduled",10/22/2024 13:07:00
"A","11/13/2025","01:00 PM","Quorum","Assembly Chambers",,,"Scheduled",11/10/2025 10:32:00
"A","11/14/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",11/8/2024 14:04:00
"A","11/17/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",11/13/2025 9:09:00
"A","11/24/2025","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (A) Scheduled to meet
2:00 PM: Committee Group (B) Scheduled to meet",,"Scheduled",11/20/2025 9:11:00
"A","12/11/2025","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (A) Scheduled to meet
2:00 PM: Committee Group (B) Scheduled to meet",,"Scheduled",12/5/2025 15:08:00
"A","12/12/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",12/6/2024 13:13:00
"A","12/15/2025","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",12/10/2025 14:31:00
"A","12/16/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",12/11/2024 14:25:00
"A","12/18/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",12/12/2025 14:31:00
"A","12/19/2024","12:00 PM","Session","Assembly Chambers","Voting Session:",,"Scheduled",12/13/2024 15:35:00
"A","12/22/2025","11:00 AM","Session","Assembly Chambers","Voting Session:",,"Scheduled",12/16/2025 15:45:00
"A","12/4/2025","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",11/26/2025 11:35:00
"A","12/8/2025","01:00 PM","Session","Assembly Chambers","Voting Session:",,"Scheduled",12/2/2025 14:43:00
"A","12/9/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (A) Scheduled to meet
2:00 PM: Committee Group (B) Scheduled to meet",,"Scheduled",12/6/2024 10:33:00
"A","2/1/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",1/26/2024 12:42:00
"A","2/10/2025","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (A) Scheduled to meet
2:00 PM: Committee Group (B) Scheduled to meet",,"Scheduled",2/5/2025 13:00:00
"A","2/12/2024","01:00 PM","Session","Assembly Chambers","Voting Session:",,"Scheduled",2/7/2024 9:26:00
"A","2/13/2025","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",2/7/2025 11:25:00
"A","2/20/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",2/14/2025 16:53:00
"A","2/22/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (A) Scheduled to meet
2:00 PM: Committee Group (B) Scheduled to meet",,"Scheduled",2/16/2024 12:03:00
"A","2/25/2025","03:00 PM","Quorum","Assembly Chambers",,,"Scheduled",2/20/2025 18:38:00
"A","2/27/2024","02:00 PM","Quorum","Assembly Chambers",,,"Scheduled",2/21/2024 16:42:00
"A","2/27/2025","01:00 PM","Session","Assembly Chambers","Voting Session:",,"Scheduled",2/21/2025 13:27:00
"A","2/5/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",1/31/2024 16:35:00
"A","2/8/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",2/2/2024 16:44:00
"A","3/10/2025","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",3/5/2025 11:08:00
"A","3/11/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",3/6/2024 14:55:00
"A","3/14/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",3/8/2024 13:08:00
"A","3/17/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",3/12/2025 16:00:00
"A","3/18/2024","01:00 PM","Session","Assembly Chambers","Voting Session:",,"Scheduled",3/12/2024 13:31:00
