"CommHouse","Date","Time","Type","BillType","BillNumber","Category","RevDate","ModDate"
"A","1/12/2026","12:00 PM","Session","A",588,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",682,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",920,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",928,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",1375,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",1432,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",1457,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",2138,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",2145,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",2258,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",2308,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",3451,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",3731,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",3739,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",3852,"Considered",,1/12/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",3865,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4051,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4125,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4137,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4463,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4562,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4598,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4604,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4607,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4628,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4674,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4694,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4748,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4750,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4860,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",4872,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5012,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5017,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5042,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5048,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5157,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5160,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5195,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5212,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5308,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5371,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5387,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5394,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5470,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5510,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5526,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5588,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5591,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5625,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5634,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5636,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5638,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5684,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5703,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5751,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5756,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5758,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5761,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5798,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5851,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5886,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5935,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5936,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5967,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5968,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5969,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5983,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",5989,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6000,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6039,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6072,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6073,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6105,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6113,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6118,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6119,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6149,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6166,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6179,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6202,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6203,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6219,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6235,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6237,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6267,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6268,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6270,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6278,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6283,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6292,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6294,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6296,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6298,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6302,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6306,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6307,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6308,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6309,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6310,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6313,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6315,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6316,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","A",6319,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","AJR",57,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","S",199,"Considered",,1/6/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","S",699,"Considered",,1/9/2026 0:00:00
"A","1/12/2026","12:00 PM","Session","S",1029,"Considered",,1/9/2026 0:00:00
