"BillType","BillNumber","Sequence","Sponsor","Type","Status","SponDate","WithDate","ModDate"
"A",4,1,"Lopez, Yvonne","P","A",1/9/2024 0:00:00,,1/12/2024 0:00:00
"A",4,2,"Coughlin, Craig J.","P","A",1/9/2024 0:00:00,,1/12/2024 0:00:00
"A",4,3,"Wimberly, Benjie E.","P","A",1/9/2024 0:00:00,,1/12/2024 0:00:00
"A",4,4,"Reynolds-Jackson, Verlina","P","A",1/9/2024 0:00:00,,1/12/2024 0:00:00
"A",4,5,"Singleton, Troy","P","A",3/18/2024 0:00:00,,3/18/2024 0:00:00
"A",4,6,"Scutari, Nicholas P.","P","A",3/18/2024 0:00:00,,3/18/2024 0:00:00
"A",4,7,"Ruiz, M. Teresa","P","A",3/18/2024 0:00:00,,3/19/2024 0:00:00
"A",4,8,"Moen, William F.","C","A",2/12/2024 0:00:00,,2/12/2024 0:00:00
"A",4,9,"Stanley, Sterley S.","C","A",2/12/2024 0:00:00,,2/12/2024 0:00:00
"A",4,10,"Quijano, Annette","C","A",2/12/2024 0:00:00,,2/12/2024 0:00:00
"A",4,11,"Speight, Shanique","C","A",2/12/2024 0:00:00,,2/12/2024 0:00:00
"A",4,12,"Sampson, William B.","C","A",2/12/2024 0:00:00,,2/12/2024 0:00:00
"A",4,13,"McCann Stamato, Barbara","C","A",2/12/2024 0:00:00,,2/12/2024 0:00:00
"A",4,14,"Haider, Shama A.","C","A",2/12/2024 0:00:00,,2/12/2024 0:00:00
"A",4,15,"Hall, Garnet R.","C","A",2/12/2024 0:00:00,,2/12/2024 0:00:00
"A",4,16,"Verrelli, Anthony S.","C","A",2/12/2024 0:00:00,,2/22/2024 0:00:00
"A",4,17,"Beach, James","C","A",3/18/2024 0:00:00,,3/18/2024 0:00:00
"A",4,18,"Burgess, Renee C.","C","A",3/18/2024 0:00:00,,3/18/2024 0:00:00
"A",4,19,"Timberlake, Britnee N.","C","A",3/18/2024 0:00:00,,3/18/2024 0:00:00
"A",4,20,"McKnight, Angela V.","C","A",3/18/2024 0:00:00,,3/18/2024 0:00:00
"A",4,21,"Pou, Nellie","C","A",3/18/2024 0:00:00,,3/18/2024 0:00:00
"A",101,1,"Guardian, Donald A.","P","A",1/9/2024 0:00:00,,1/10/2024 0:00:00
"A",101,2,"Venezia, Michael","P","A",2/8/2024 0:00:00,,2/8/2024 0:00:00
"A",101,3,"Murphy, Carol A.","C","A",1/11/2022 0:00:00,,1/10/2024 0:00:00
"A",101,4,"Flynn, Victoria A.","C","A",4/4/2024 0:00:00,,4/4/2024 0:00:00
"A",102,1,"Guardian, Donald A.","P","A",1/9/2024 0:00:00,,1/5/2024 0:00:00
"A",102,2,"Swift, Claire S.","C","A",1/9/2024 0:00:00,,1/5/2024 0:00:00
"A",103,1,"Guardian, Donald A.","P","A",1/9/2024 0:00:00,,11/17/2023 0:00:00
"A",103,2,"Matsikoudis, Michele","C","A",2/5/2024 0:00:00,,2/5/2024 0:00:00
"A",104,1,"Guardian, Donald A.","P","A",1/9/2024 0:00:00,,1/4/2024 0:00:00
"A",104,2,"Matsikoudis, Michele","C","A",2/5/2024 0:00:00,,2/5/2024 0:00:00
"A",105,1,"Guardian, Donald A.","P","A",1/9/2024 0:00:00,,1/10/2024 0:00:00
"A",105,2,"Swift, Claire S.","C","A",1/9/2024 0:00:00,,1/10/2024 0:00:00
"A",106,1,"Guardian, Donald A.","P","A",1/9/2024 0:00:00,,1/11/2024 0:00:00
"A",106,2,"Torrissi, Michael","C","A",1/9/2024 0:00:00,,1/11/2024 0:00:00
"A",107,1,"Guardian, Donald A.","P","A",1/9/2024 0:00:00,,11/17/2023 0:00:00
"A",108,1,"Guardian, Donald A.","P","A",1/9/2024 0:00:00,,11/17/2023 0:00:00
"A",109,1,"Guardian, Donald A.","P","A",1/9/2024 0:00:00,,11/17/2023 0:00:00
"A",110,1,"Guardian, Donald A.","P","A",1/9/2024 0:00:00,,1/11/2024 0:00:00
"A",110,2,"Sauickie, Alex","P","A",12/9/2024 0:00:00,,12/11/2024 0:00:00
"A",110,3,"Swain, Lisa","C","A",1/9/2024 0:00:00,,1/11/2024 0:00:00
"A",110,4,"Quijano, Annette","C","A",1/9/2024 0:00:00,,1/11/2024 0:00:00
"A",110,5,"Reynolds-Jackson, Verlina","C","A",5/2/2024 0:00:00,,5/2/2024 0:00:00
"A",110,6,"Dunn, Aura K.","C","A",12/9/2024 0:00:00,,12/11/2024 0:00:00
"A",110,7,"Rumpf, Brian E.","C","A",1/30/2025 0:00:00,,1/30/2025 0:00:00
"A",110,8,"Myhre, Gregory E.","C","A",1/30/2025 0:00:00,,1/30/2025 0:00:00
"A",110,9,"Scharfenberger, Gerry","C","A",2/10/2025 0:00:00,,2/10/2025 0:00:00
"A",110,10,"Flynn, Victoria A.","C","A",2/10/2025 0:00:00,,2/10/2025 0:00:00
"A",110,11,"Kean, Sean T.","C","A",11/13/2025 0:00:00,,11/13/2025 0:00:00
"A",111,1,"Guardian, Donald A.","P","A",1/9/2024 0:00:00,,1/11/2024 0:00:00
"A",111,2,"Venezia, Michael","P","A",2/8/2024 0:00:00,,2/8/2024 0:00:00
"A",112,1,"Guardian, Donald A.","P","A",1/9/2024 0:00:00,,11/17/2023 0:00:00
"A",112,2,"Bailey, David","P","A",3/4/2024 0:00:00,,3/5/2024 0:00:00
"A",112,3,"Scharfenberger, Gerry","P","A",3/7/2024 0:00:00,,3/7/2024 0:00:00
"A",112,4,"Stanley, Sterley S.","C","A",1/9/2024 0:00:00,,11/17/2023 0:00:00
"A",112,5,"Lopez, Yvonne","C","A",1/9/2024 0:00:00,,11/17/2023 0:00:00
"A",112,6,"Donlon, Margie","C","A",2/22/2024 0:00:00,,2/22/2024 0:00:00
"A",113,1,"Guardian, Donald A.","P","A",1/9/2024 0:00:00,,11/17/2023 0:00:00
