"BillType","BillNumber","SubjectKey","ModDate"
"A",4,"AFFORD HOUS",1/12/2024 0:00:00
"A",4,"MUNICIPALITI",1/12/2024 0:00:00
"A",101,"EDUCATION",11/17/2023 0:00:00
"A",101,"VETERANS",11/17/2023 0:00:00
"A  ",102,"BUS TAXES",11/17/2023 0:00:00
"A  ",102,"INCOME TAX",11/17/2023 0:00:00
"A  ",102,"WAGES",11/17/2023 0:00:00
"A",103,"EDUC FINANCE",11/17/2023 0:00:00
"A",103,"HEALTH PROF",11/17/2023 0:00:00
"A",103,"INCOME TAX",11/17/2023 0:00:00
"A  ",104,"AGRICULTURE",11/17/2023 0:00:00
"A  ",104,"ALCOHOLIC BE",11/17/2023 0:00:00
"A  ",105,"HIGHER ED",11/17/2023 0:00:00
"A  ",106,"BUS TAXES",11/17/2023 0:00:00
"A  ",106,"CORPORATIONS",11/17/2023 0:00:00
"A  ",106,"INCOME TAX",11/17/2023 0:00:00
"A",107,"GAMBLING",11/17/2023 0:00:00
"A",107,"HORSE RACING",11/17/2023 0:00:00
"A",107,"INTERNET",11/17/2023 0:00:00
"A",108,"GAMBLING",11/17/2023 0:00:00
"A",108,"SPORTS",11/17/2023 0:00:00
"A",109,"BUS TAXES",11/17/2023 0:00:00
"A",109,"ECONOMIC DEV",11/17/2023 0:00:00
"A  ",110,"PROPERTY TAX",11/17/2023 0:00:00
"A",111,"HEALTH INSUR",11/17/2023 0:00:00
"A",111,"INTERNET",11/17/2023 0:00:00
"A",111,"MEDICAID",11/17/2023 0:00:00
"A  ",112,"MOTOR VEHICL",11/17/2023 0:00:00
"A",113,"DISABLED",11/17/2023 0:00:00
"A",113,"HEALTH",11/17/2023 0:00:00
"A  ",114,"INTERNET",11/17/2023 0:00:00
"A  ",114,"PUB ASSIST",11/17/2023 0:00:00
"A",115,"DISABLED",7/11/2024 0:00:00
"A",115,"TAXATION",7/11/2024 0:00:00
"A",116,"INTERNET",11/17/2023 0:00:00
"A",116,"STATE DEPTS",11/17/2023 0:00:00
"A",117,"ENVIRONMENT",11/17/2023 0:00:00
