"BillType","BillNumber","Document","DocType","ReprintNum","Pages","Comment","ModDate"
"A",4,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\4_E1.DOCX","FE",,7,"3/21/24; 2R",3/21/2024 0:00:00
"A",4,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\4_E2.DOCX","FE",,7,"3/6/24; 1R CC",3/7/2024 0:00:00
"A",4,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\4_I1.DOCX","I",,76,"",1/12/2024 0:00:00
"A",4,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\4_R1.DOCX","R",1,72,"AAP 2/8/24 1R",2/27/2024 0:00:00
"A",4,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\4_R2.DOCX","R",2,75,"SBA 3/11/24 2R",3/19/2024 0:00:00
"A",4,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\4_S1.DOCX","S",,6,"AHO 1/29/24",1/30/2024 0:00:00
"A",4,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\4_S2.DOCX","S",,10,"AAP 2/8/24",2/9/2024 0:00:00
"A",4,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\4_S3.DOCX","S",,9,"SBA 3/11/24 1R",3/12/2024 0:00:00
"A",4,"\\NJOLS7\LEGAPPS$\2024BILL\AL24\2_.DOCX","AL",2024,74,"",7/2/2024 0:00:00
"A",4,"\\NJOLS7\LEGAPPS$\2024BILL\PL24\2_.DOCX","PL",2024,50,"",7/31/2024 0:00:00
"A",101,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\101_I1.DOCX","I",,3,"",4/5/2024 0:00:00
"A  ",102,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\102_I1.DOCX","I",,5,"",11/21/2023 0:00:00
"A",103,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\103_I1.DOCX","I",,3,"",2/6/2024 0:00:00
"A",104,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\104_I1.DOCX","I",,3,"",2/6/2024 0:00:00
"A  ",105,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\105_I1.DOCX","I",,4,"",11/21/2023 0:00:00
"A  ",106,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\106_I1.DOCX","I",,5,"",11/21/2023 0:00:00
"A",107,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\107_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",108,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\108_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",109,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\109_I1.DOCX","I",,5,"",11/21/2023 0:00:00
"A",110,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\110_I1.DOCX","I",,6,"",11/14/2025 0:00:00
"A",111,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\111_I1.DOCX","I",,3,"",2/9/2024 0:00:00
"A",112,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\112_I1.DOCX","I",,3,"",3/8/2024 0:00:00
"A",113,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\113_I1.DOCX","I",,4,"",11/21/2023 0:00:00
"A",114,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\114_I1.DOCX","I",,3,"",1/30/2024 0:00:00
"A",115,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\115_I1.DOCX","I",,4,"",12/12/2024 0:00:00
"A",116,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\116_I1.DOCX","I",,2,"",2/23/2024 0:00:00
"A",117,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\117_I1.DOCX","I",,4,"",11/21/2023 0:00:00
"A",118,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\118_I1.DOCX","I",,6,"",11/21/2023 0:00:00
"A",119,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\119_I1.DOCX","I",,2,"",11/21/2023 0:00:00
"A",120,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\120_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",121,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\121_I1.DOCX","I",,8,"",1/29/2024 0:00:00
"A",122,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\122_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",123,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\123_I1.DOCX","I",,4,"",1/30/2024 0:00:00
"A",124,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\124_I1.DOCX","I",,2,"",2/23/2024 0:00:00
"A",125,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\125_I1.DOCX","I",,4,"",11/21/2023 0:00:00
"A",126,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\126_I1.DOCX","I",,5,"",6/13/2025 0:00:00
"A",127,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\127_I1.DOCX","I",,13,"",2/26/2024 0:00:00
"A",128,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\128_I1.DOCX","I",,3,"",4/5/2024 0:00:00
"A",129,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\129_I1.DOCX","I",,17,"",11/25/2025 0:00:00
"A",130,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\130_I1.DOCX","I",,4,"",11/21/2023 0:00:00
"A",131,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\131_I1.DOCX","I",,5,"",2/11/2025 0:00:00
"A  ",132,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\132_I1.DOCX","I",,5,"",11/21/2023 0:00:00
"A",133,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\133_I1.DOCX","I",,6,"",11/21/2023 0:00:00
"A",134,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\134_I1.DOCX","I",,6,"",11/21/2023 0:00:00
"A",135,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\135_I1.DOCX","I",,7,"",11/21/2023 0:00:00
"A",136,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\136_I1.DOCX","I",,6,"",2/9/2024 0:00:00
"A",137,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\137_I1.DOCX","I",,5,"",11/21/2023 0:00:00
"A",138,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\138_I1.DOCX","I",,7,"",11/21/2023 0:00:00
"A",139,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\139_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",140,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\140_I1.DOCX","I",,2,"",11/21/2023 0:00:00
"A  ",141,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\141_I1.DOCX","I",,17,"",11/21/2023 0:00:00
"A",142,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\142_I1.DOCX","I",,4,"",11/21/2023 0:00:00
"A  ",143,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\143_I1.DOCX","I",,2,"",11/21/2023 0:00:00
"A",144,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\144_I1.DOCX","I",,5,"",11/21/2023 0:00:00
"A",146,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\146_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",147,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\147_I1.DOCX","I",,7,"",11/21/2023 0:00:00
"A  ",148,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\148_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",150,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\150_I1.DOCX","I",,5,"",11/15/2024 0:00:00
"A",151,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\151_I1.DOCX","I",,7,"",11/21/2023 0:00:00
"A",152,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\152_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",153,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\153_I1.DOCX","I",,9,"",2/26/2024 0:00:00
"A",155,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\155_I1.DOCX","I",,2,"",11/21/2023 0:00:00
"A",156,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\156_I1.DOCX","I",,8,"",11/21/2023 0:00:00
"A",157,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\157_I1.DOCX","I",,8,"",11/21/2023 0:00:00
"A",158,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\158_I1.DOCX","I",,16,"",11/21/2023 0:00:00
"A",159,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\159_I1.DOCX","I",,8,"",5/17/2024 0:00:00
"A  ",160,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\160_I1.DOCX","I",,2,"",11/21/2023 0:00:00
"A",161,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\161_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",162,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\162_I1.DOCX","I",,14,"",10/18/2024 0:00:00
"A",163,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\163_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",164,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\164_I1.DOCX","I",,6,"",3/12/2024 0:00:00
"A  ",165,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\165_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",166,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\166_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",168,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\168_I1.DOCX","I",,4,"",11/21/2023 0:00:00
"A",169,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\169_I1.DOCX","I",,4,"",11/21/2023 0:00:00
"A",170,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\170_I1.DOCX","I",,6,"",5/2/2024 0:00:00
"A",172,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\172_I1.DOCX","I",,7,"",11/21/2023 0:00:00
"A",173,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\173_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",175,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\175_I1.DOCX","I",,4,"",6/19/2025 0:00:00
"A",176,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\176_I1.DOCX","I",,15,"",11/21/2023 0:00:00
"A",177,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\177_I1.DOCX","I",,3,"",11/15/2024 0:00:00
"A",180,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\180_I1.DOCX","I",,5,"",11/21/2023 0:00:00
"A",181,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\181_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",182,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\182_I1.DOCX","I",,2,"",2/26/2024 0:00:00
"A",183,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\183_I1.DOCX","I",,2,"",11/21/2023 0:00:00
"A",184,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\184_I1.DOCX","I",,3,"",2/26/2024 0:00:00
"A",185,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\185_I1.DOCX","I",,4,"",11/21/2023 0:00:00
"A",186,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\186_I1.DOCX","I",,23,"",11/21/2023 0:00:00
"A",187,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\187_I1.DOCX","I",,4,"",11/21/2023 0:00:00
"A",188,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\188_I1.DOCX","I",,13,"",11/21/2023 0:00:00
"A",189,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\189_I1.DOCX","I",,2,"",11/21/2023 0:00:00
"A",190,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\190_I1.DOCX","I",,8,"",2/9/2024 0:00:00
"A",191,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\191_I1.DOCX","I",,7,"",2/28/2025 0:00:00
"A",192,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\192_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",193,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\193_I1.DOCX","I",,7,"",11/21/2023 0:00:00
"A",195,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\195_I1.DOCX","I",,19,"",11/21/2023 0:00:00
"A  ",196,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\196_I1.DOCX","I",,3,"",11/21/2023 0:00:00
"A",197,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\197_I1.DOCX","I",,4,"",6/13/2025 0:00:00
"A",198,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\198_E1.DOCX","FE",,3,"1/9/26; 1R",1/9/2026 0:00:00
"A",198,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\198_I2.DOCX","I",,4,"",12/5/2025 0:00:00
"A",198,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\198_R1.DOCX","R",1,3,"APS 12/11/25 1R",12/12/2025 0:00:00
"A",198,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\198_S1.DOCX","S",,2,"APS 12/11/25",12/12/2025 0:00:00
"A",199,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\199_I1.DOCX","I",,4,"",11/27/2023 0:00:00
"A  ",200,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\200_I1.DOCX","I",,7,"",11/27/2023 0:00:00
"A  ",201,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\201_I1.DOCX","I",,4,"",11/27/2023 0:00:00
"A",202,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\202_I1.DOCX","I",,3,"",10/22/2024 0:00:00
"A",203,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\203_I1.DOCX","I",,12,"",11/27/2023 0:00:00
"A  ",206,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\206_I1.DOCX","I",,3,"",11/27/2023 0:00:00
"A",207,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\207_I1.DOCX","I",,25,"",11/27/2023 0:00:00
"A",208,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\208_I1.DOCX","I",,3,"",11/27/2023 0:00:00
"A",209,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\209_I1.DOCX","I",,8,"",11/27/2023 0:00:00
"A",210,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\210_I1.DOCX","I",,2,"",2/23/2024 0:00:00
"A",211,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\211_I1.DOCX","I",,6,"",11/27/2023 0:00:00
"A",212,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\212_I1.DOCX","I",,2,"",11/27/2023 0:00:00
"A",213,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\213_I1.DOCX","I",,3,"",2/9/2024 0:00:00
"A",214,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\214_I1.DOCX","I",,3,"",11/27/2023 0:00:00
"A",215,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\215_I1.DOCX","I",,3,"",11/27/2023 0:00:00
"A",216,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\216_I1.DOCX","I",,5,"",11/27/2023 0:00:00
"A",217,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\217_I1.DOCX","I",,4,"",11/27/2023 0:00:00
"A",218,"\\NJOLS7\LEGAPPS$\2024BILL\A0500\218_I1.DOCX","I",,30,"",11/27/2023 0:00:00
