"Code","Member","Position_on_Committee","Assignment_to_Committee","ModDate"
"AAP","Auth, Robert",,"P",1/23/2024 0:00:00
"AAP","Haider, Shama A.",,"P",1/23/2024 0:00:00
"AAP","Kane, Melinda",,"P",2/3/2025 0:00:00
"AAP","Lampitt, Pamela R.",,"R",1/8/2025 0:00:00
"AAP","McClellan, Antwan L.",,"P",1/23/2024 0:00:00
"AAP","McCoy, Tennille R.",,"P",1/23/2024 0:00:00
"AAP","Myhre, Gregory E.",,"P",1/23/2024 0:00:00
"AAP","Pintor Marin, Eliana",,"P",1/23/2024 0:00:00
"AAP","Reynolds-Jackson, Verlina","V","P",1/23/2024 0:00:00
"AAP","Schaer, Gary S.",,"P",1/23/2024 0:00:00
"AAP","Swain, Lisa","C","P",1/23/2024 0:00:00
"AAP","Webber, Jay",,"P",1/23/2024 0:00:00
"ABD","Barlas, Al","O","P",10/28/2024 0:00:00
"ABD","Hutchison, Dan",,"P",10/28/2024 0:00:00
"ABD","Inganamort, Michael",,"P",10/28/2024 0:00:00
"ABD","Matsikoudis, Michele",,"P",10/28/2024 0:00:00
"ABD","McClellan, Antwan L.",,"P",10/28/2024 0:00:00
"ABD","Park, Ellen J.",,"P",10/28/2024 0:00:00
"ABD","Pintor Marin, Eliana",,"P",10/28/2024 0:00:00
"ABD","Reynolds-Jackson, Verlina","Q","P",10/28/2024 0:00:00
"ABD","Rodriguez, Gabriel",,"P",10/28/2024 0:00:00
"ABD","Rumpf, Brian E.","Q","P",10/28/2024 0:00:00
"ABD","Scharfenberger, Gerry",,"P",10/28/2024 0:00:00
"ABD","Wimberly, Benjie E.","O","R",1/17/2025 0:00:00
"ABU","Barlas, Al",,"P",1/23/2024 0:00:00
"ABU","Conaway, Herb",,"R",1/8/2025 0:00:00
"ABU","Dunn, Aura K.",,"P",1/23/2024 0:00:00
"ABU","Freiman, Roy",,"P",1/23/2024 0:00:00
"ABU","Lopez, Yvonne",,"P",2/3/2025 0:00:00
"ABU","Muñoz, Nancy F.",,"P",1/23/2024 0:00:00
"ABU","Murphy, Carol A.",,"P",1/23/2024 0:00:00
"ABU","Park, Ellen J.","V","P",2/3/2025 0:00:00
"ABU","Pintor Marin, Eliana","C","P",1/23/2024 0:00:00
"ABU","Reynolds-Jackson, Verlina",,"P",1/23/2024 0:00:00
"ABU","Rodriguez, Gabriel",,"P",1/23/2024 0:00:00
"ABU","Rumpf, Brian E.",,"P",1/23/2024 0:00:00
"ABU","Schaer, Gary S.",,"P",1/23/2024 0:00:00
"ABU","Scharfenberger, Gerry",,"P",1/23/2024 0:00:00
"ABU","Spearman, William W.",,"P",2/3/2025 0:00:00
"ABU","Venezia, Michael",,"P",1/23/2024 0:00:00
"ABU","Wimberly, Benjie E.","V","R",1/17/2025 0:00:00
"ACE","Bergen, Brian",,"P",1/23/2024 0:00:00
"ACE","Fantasia, Dawn",,"P",1/23/2024 0:00:00
"ACE","Karabinchak, Robert J.",,"P",1/23/2024 0:00:00
"ACE","Katz, Andrea",,"P",1/23/2024 0:00:00
"ACE","Matsikoudis, Michele",,"P",1/23/2024 0:00:00
"ACE","Morales, Carmen Theresa",,"P",1/23/2024 0:00:00
"ACE","Park, Ellen J.",,"P",1/23/2024 0:00:00
"ACE","Peterpaul, Luanne M.",,"P",1/23/2024 0:00:00
"ACE","Sauickie, Alex",,"P",1/23/2024 0:00:00
"ACE","Simmons, Heather",,"P",1/23/2024 0:00:00
"ACE","Spearman, William W.","C","P",1/23/2024 0:00:00
"ACE","Tully, Chris","V","P",1/23/2024 0:00:00
"ACF","Collazos-Gill, Alixon",,"P",1/23/2024 0:00:00
"ACF","Dunn, Aura K.",,"P",1/23/2024 0:00:00
"ACF","Haider, Shama A.","C","P",1/23/2024 0:00:00
"ACF","Kanitra, Paul",,"P",1/23/2024 0:00:00
"ACF","Reynolds-Jackson, Verlina",,"R",2/3/2025 0:00:00
"ACF","Singh, Balvir",,"P",2/3/2025 0:00:00
"ACF","Spearman, William W.","V","P",1/23/2024 0:00:00
"ACO","Egan, Kevin P.",,"P",1/23/2024 0:00:00
"ACO","Hall, Garnet R.",,"P",1/23/2024 0:00:00
"ACO","Kean, Sean T.",,"P",1/23/2024 0:00:00
"ACO","Quijano, Annette","V","P",1/23/2024 0:00:00
"ACO","Sampson, William B.","C","P",1/23/2024 0:00:00
"ACO","Torrissi, Michael",,"P",1/23/2024 0:00:00
"ACW","Barlas, Al",,"P",1/23/2024 0:00:00
"ACW","Lopez, Yvonne","V","P",1/23/2024 0:00:00
"ACW","McCann Stamato, Barbara",,"P",1/23/2024 0:00:00
"ACW","Ramirez, Jessica",,"P",1/23/2024 0:00:00
"ACW","Simonsen, Erik K.",,"P",1/23/2024 0:00:00
"ACW","Sumter, Shavonda E.","C","P",1/23/2024 0:00:00
"AED","Abdelaziz, Al",,"P",2/3/2025 0:00:00
"AED","Bagolie, Rosaura",,"P",1/23/2024 0:00:00
"AED","Fantasia, Dawn",,"P",1/23/2024 0:00:00
"AED","Lampitt, Pamela R.","C","R",1/8/2025 0:00:00
"AED","Matsikoudis, Michele",,"P",1/23/2024 0:00:00
"AED","Morales, Carmen Theresa",,"R",2/3/2025 0:00:00
"AED","Reynolds-Jackson, Verlina","C","P",1/23/2025 0:00:00
"AED","Schnall, Alexander",,"P",1/23/2024 0:00:00
"AED","Simonsen, Erik K.",,"P",1/23/2024 0:00:00
"AED","Stanley, Sterley S.","V","P",1/23/2024 0:00:00
"AED","Swain, Lisa",,"P",1/23/2024 0:00:00
"AEN","Collazos-Gill, Alixon",,"P",1/23/2024 0:00:00
"AEN","Hall, Garnet R.",,"P",1/23/2024 0:00:00
"AEN","Inganamort, Michael",,"P",1/23/2024 0:00:00
