"Roster Key","Last_Name","First_Name","Middle_Name","Suffix","Legislator","DOB","Education","PublicService","LegService","Occupation","MilitaryService","URLPicture","PictureText"
498,"Abdelaziz","Al",,,"Abdelaziz, Al",,,,,,,"http://www.njleg.state.nj.us/members/memberphotos/abdelaziz_al_2025.jpg","Assemblyman Al Abdelaziz (D)"
486,"Allen","John",,,"Allen, John",,"B.A. Rutgers University (Political Science)<br>
J.D. Rutgers School of Law",,"General Assembly 2024-present","Attorney, Schenck Price & King L.L.P.",,"http://www.njleg.state.nj.us/members/memberphotos/allen_john_2024.jpg","Assemblyman John Allen (D)"
465,"Amato","Carmen","F.","Jr.","Amato, Carmen F.",,,,,,,"http://www.njleg.state.nj.us/members/memberphotos/amato_carmen_2024.jpg","Senator Carmen F. Amato, Jr. (R)"
448,"Atkins","Reginald","W.",,"Atkins, Reginald W.","December 25, 1967",,"Borough of Roselle Mayor 2020-21, Councilman-At-Large 2016-19, Council President 2018-19; Roselle Public Schools Board of Education President 2007, 2016","General Assembly 2022-present","Senior Manager/Director, Computer Task Group",,"http://www.njleg.state.nj.us/members/memberphotos/atkins_reginald_2022_250.jpg","Assemblyman Reginald W. Atkins (D)"
366,"Auth","Robert",,,"Auth, Robert",,"B.A. New York University (History/Philosophy)","North Bergen Board of Education, Teacher 2004-06","General Assembly 2014-present","Chief Executive Officer, Plaza Travel and Insurance Services Ltd.",,"http://www.njleg.state.nj.us/members/memberphotos/auth_robert_2017_250.jpg","Assemblyman Robert Auth (R)"
493,"Azzariti Jr.","John","V.","M.D.","Azzariti Jr., John V.","February 1, 1966","B.A. Case Western Reserve University (Chemistry/Economics)<br>
M.D. University of Medicine and Dentistry of New Jersey - New Jersey Medical School","Borough of Saddle River Council 2019-2023, Board of Health 2009-2018, Zoning Board of Adjustment 2018;","General Assembly 2024-present","Physician Anesthesiologist, Bergen Anesthesia Group, P.C.",,"http://www.njleg.state.nj.us/members/memberphotos/azzariti_john_2024.jpg","Assemblyman John V. Azzariti, Jr. (R)"
479,"Bagolie","Rosaura",,,"Bagolie, Rosaura","June 14, 1980","B.A. Seton Hall University (Social and Behavioral Sciences)<br>
M.S. Seton Hall University (Elementary Education)<br>
Ed.D. Seton Hall University (Education Leadership, Management and Policy)<br>
Ed.M. Rutgers University (Special Education)","Livingston Township Council 2023","General Assembly 2024-present","Principal/Superintendent of Schools, East Newark Public School",,"http://www.njleg.state.nj.us/members/memberphotos/bagolie_rosy_2024.jpg","Assemblywoman Rosy Bagolie (D)"
459,"Bailey","David",,"Jr.","Bailey, David","March 1, 1967","B.S. Pennsylvania State University (Administration of Justice)<br>
M.S. Eastern University (Non-profit Management)",,"General Assembly 2024-present","Chief Executive Officer, Ranch Hope, Inc.",,"http://www.njleg.state.nj.us/members/memberphotos/bailey_dave_2024.jpg","Assemblyman Dave Bailey (D)"
494,"Barlas","Al",,,"Barlas, Al","June 21, 1981",,"Essex County Republican Committee Chairman 2011-present","General Assembly 2024-present","Co-Administrator/Director of Marketing, New Jersey Intergovernmental Insurance Fund",,"http://www.njleg.state.nj.us/members/memberphotos/barlas_al_2024.jpg","Assemblyman Al Barlas (R)"
450,"Barranco","Christian","E.",,"Barranco, Christian E.","December 31, 1969","Don Bosco Technical High School<br>
Journeyman Certificate IBEW Local 102","Borough of Pompton Lakes Council 2017-2019","General Assembly 2022-present, Assistant Minority Conference Leader 2024-present","I.B. Abel, Inc.",,"http://www.njleg.state.nj.us/members/memberphotos/barranco_christian_2022_250.jpg","Assemblyman Christian E. Barranco (R)"
310,"Beach","James",,,"Beach, James","October 28, 1946","B.S. Midwestern College (Psychology and Physical Education)<br>
M.A. Rowan University (Personnel Services)<br>
Completed Doctoral Studies ABD, Nova University (Educational Administration)","Camden County Clerk 1996-2008; Camden County Board of Freeholders 1992-95, Director 1993","Senate 2009-present, Deputy Majority Whip 2025-present, Assistant Majority Leader 2014-2025","Property Damage Specialist, All Risk",,"http://www.njleg.state.nj.us/members/memberphotos/beach_james_2022_250.jpg","Senator James Beach (D)"
423,"Bergen","Brian",,,"Bergen, Brian","July 8, 1979","B.S. U.S. Military Academy (French, Spanish, Computer Science)<br>
M.S. University of Phoenix (Administration of Justice, Security)<br>
M.B.A. Rutgers Business School (Entrepreneurship, Strategy)","Denville Township Council 2017-19","General Assembly 2020-present, Minority Whip 2024-present","Owner, A&B Stainless Valve","U.S. Army 1997-2008, Captain","http://www.njleg.state.nj.us/members/memberphotos/bergen_brian_2022_250.jpg","Assemblyman Brian Bergen (R)"
433,"Bramnick","Jon","M.",,"Bramnick, Jon M.","February 24, 1953","B.A. Syracuse University (Political Science)<br>
J.D. Hofstra University School of Law","City of Plainfield Council 1984-91","Senate 2022-present; General Assembly 2003-2021,  Republican Leader 2012-2021, Republican Conference Leader 2009-12, Republican Whip 2007-09, Assistant Whip 2006-07","Attorney, Bramnick, Rodriguez, Grabas, Arnold and Mangan",,"http://www.njleg.state.nj.us/members/memberphotos/bramnick_jon_2020_250.jpg","Senator Jon M. Bramnick (R)"
419,"Bucco","Anthony","M.",,"Bucco, Anthony M.","April 12, 1962","B.A. Lycoming College (Managerial Economics/Business Administration)<br>
J.D. Seton Hall University School of Law","Governor's Council on Alcoholism and Drug Abuse 1998-2009","Senate 2019-present, Republican Leader, 2023-present, Republican Whip 2022-2023; General Assembly 2010-2019, Conference Leader 2017-2019, Republican Whip 2016-2017, Deputy Republican Leader 2012-2016","Attorney, Murphy and McKeon, P.C.",,"http://www.njleg.state.nj.us/members/memberphotos/bucco_anthony_m_2022_250.jpg","Senator Anthony M. Bucco (R)"
455,"Burgess","Renee","C.",,"Burgess, Renee C.","April 5","A.S. Essex County College (Business)<br>
B.A. Pillar College (Organizational Leadership)<br>
M.P.A. Metropolitan College of New York","Irvington Democratic County Committee, South Ward District Leader 2008-present;
Irvington Council 2014-22, President 2019-22; Irvington Board of Education 2002-14, President 2007-09, Vice President 2005-07","Senate 2022-present","Legislator",,"http://www.njleg.state.nj.us/members/memberphotos/burgess_renee_2022_250.jpg","Senator Renee C. Burgess (D)"
458,"Burzichelli","John","J.",,"Burzichelli, John J.","November 14, 1954",,"Borough of Paulsboro, Mayor 1996-2011","Senate 2024-present; General Assembly 2002-2021, Deputy Speaker 2006-2021, Appropriations Chair 2012-2021, Assistant Majority Leader 2004-05","Owner/Producer/Distributor, Hill Studio & Scenic",,"http://www.njleg.state.nj.us/members/memberphotos/burzichelli_john_2024.jpg","Senator John J. Burzichelli (D)"
408,"Calabrese","Clinton",,,"Calabrese, Clinton","March 4, 1986","B.S. St. Joseph’s University (Finance and Management)<br>
M.S. New York University (Real Estate)","Cliffside Park Zoning Board of Adjustment 2016-17; Cliffside Park Board of Education 2009-10","General Assembly 2018-present, Deputy Whip 2022-present","Principal, Real Estate Development and Investment, Alkova Companies",,"http://www.njleg.state.nj.us/members/memberphotos/calabrese_clinton_2025.jpg","Assemblyman Clinton Calabrese (D)"
414,"Carter","Linda","S.",,"Carter, Linda S.",,"B.S. University of Maryland Eastern Shore (Business Administration)<br>
M.S. Stevens Institute of Technology (Management)","Union County Board of Chosen Freeholders 2011-18; Plainfield City Council 2004-10","General Assembly 2018-present, Majority Conference Leader 2025-present, Deputy Speaker 2022-2025, Deputy Whip 2020-2023","Teacher",,"http://www.njleg.state.nj.us/members/memberphotos/carter_linda_2024.jpg","Assemblywoman Linda S. Carter (D)"
342,"Clifton","Robert","D.",,"Clifton, Robert D.","December 31, 1968","B.A. Rider College (Political Science)<br>
M.A. University of Richmond (Political Science)","Monmouth County Board of Chosen Freeholders 2005-11; Borough of Matawan Mayor 1996-2005","General Assembly 2012-present, Assistant Minority Leader 2024-present","Director of Local Government Affairs, Comcast Cable",,"http://www.njleg.state.nj.us/members/memberphotos/clifton_robert_2020_250.jpg","Assemblyman Robert D. Clifton (R)"
480,"Collazos-Gill","Alixon",,,"Collazos-Gill, Alixon","January 27, 1977","B.A. Rutgers University–Newark (Sociology/Latin American Literature)",,"General Assembly 2024-present","Assemblywoman",,"http://www.njleg.state.nj.us/members/memberphotos/collazos-gill_alixon_2024.jpg","Assemblywoman Alixon Collazos-Gill (D)"
186,"Conaway","Herb",,"Jr.","Conaway, Herb","January 30, 1963","B.A. Princeton University (Politics)<br>
M.D. Jefferson Medical College<br>
J.D. Rutgers School of Law",,"General Assembly 1998-present, Deputy Speaker 2002-05 and 2022-present, Majority Whip 2014-2017","Health Care Professional","U.S. Air Force (Medical Corps) 1992-96, Captain","http://www.njleg.state.nj.us/members/memberphotos/conaway_herb_2024.jpg","Assemblyman Herb Conaway, MD (D)"
392,"Corrado","Kristin","M.",,"Corrado, Kristin M.",,"B.A. East Stroudsburg (Political Science)<br>
J.D. Seton Hall University","Passaic County Clerk 2010-17","Senate 2017-present, Conference Leader 2020-2022, Deputy Republican Whip 2018-2019","Attorney, Corrado & Corrado, Esqs.",,"http://www.njleg.state.nj.us/members/memberphotos/corrado_kristin_2017_250.jpg","Senator Kristin Corrado (R)"
319,"Coughlin","Craig","J.",,"Coughlin, Craig J.","January 31, 1958","B.S. St. John’s University<br>
J.D. St. John’s University School of Law","Township of Edison Municipal Court Judge 2005-2009; South Amboy Council 1987-1993; South Amboy Board of Education 1983-1987","General Assembly 2010-present, Speaker 2018-present, Parliamentarian 2016-2017, Deputy Parliamentarian 2014-16","Attorney, Private Practice",,"http://www.njleg.state.nj.us/members/memberphotos/coughlin_craig_2024.jpg","Assemblyman  Craig  J. Coughlin (D)"
371,"Cruz-Perez","Nilsa","I.",,"Cruz-Perez, Nilsa I.","January 21, 1961","University of Puerto Rico (Political Science)<br>
University of Maryland","N.J. State Democratic Committee 1997-2001, Vice-Chair; Rutgers-Camden Board of Directors 2012-2014; N.J. Legislative Apportionment Commission 2010-11, Democratic Vice-Chair; N.J. Congressional Reapportionment Commission 2011-12","Senate 2014-present; General Assembly 1995-2010, Deputy Majority Leader 2008-10, Assistant Majority Leader 2002-08","Director of Constituent Services, Camden County","U.S. Army 1981-87","http://www.njleg.state.nj.us/members/memberphotos/cruz-perez_nilsa_2022_250.jpg","Senator Nilsa Cruz-Perez (D)"
406,"Cryan","Joseph","P.",,"Cryan, Joseph P.","September 1, 1961","B.A. Belmont Abbey College (Business Administration)","N.J. Democratic State Committee, Chair 2006-10, Vice Chair 2001-05","Senate 2018-present; General Assembly 2002-14, Majority Leader 2010-12","Executive Director, Middlesex County Utilities Authority",,"http://www.njleg.state.nj.us/members/memberphotos/cryan_joseph_2017_250.jpg","Senator Joseph Cryan (D)"
370,"Danielsen","Joe",,,"Danielsen, Joe",,"A.S. Middlesex County College (Marketing, Art and Design)<br>
B.A. Rutgers University (Visual Arts)","Township of Franklin Planning Board 1997-2010; Franklin Township Commissioner of Fire District No. 1 Board 2000-06","General Assembly 2014-present, Deputy Whip 2020-present","Owner, Network Blade L.L.C.","Army Reserves","http://www.njleg.state.nj.us/members/memberphotos/danielsen_joe_2024.jpg","Assemblyman Joe Danielsen (D)"
279,"DeAngelo","Wayne","P.",,"DeAngelo, Wayne P.","November 5, 1965","Steinert High School<br>
Rupert John Trade School (Electrical)","N.J. Council on Armed Forces and Veterans Affairs 2012-present; Hamilton Township Planning Board 2006-07, Council 2002-05, Zoning Board 2000-01","General Assembly 2008-present, Deputy Speaker 2015-present, Deputy Speaker Pro Tempore 2010-15","President/Assistant Business Manager at IBEW",,"http://www.njleg.state.nj.us/members/memberphotos/deangelo_wayne_2024.jpg","Assemblyman Wayne P. DeAngelo (D)"
404,"DePhillips","Christopher","P.",,"DePhillips, Christopher P.","March 30, 1965","B.A. Georgetown University (Government)<br>
J.D. Seton Hall University School of Law","Northwest Bergen County Utilities Authority Commissioner 2012-17; Township of Wyckoff  Township Committee 2010-13, Mayor 2012","General Assembly 2018-present, Minority Conference Leader 2024-present, Deputy Republican Leader 2021-2023","Vice President and General Counsel, Porzio Life Sciences, L.L.C.",,"http://www.njleg.state.nj.us/members/memberphotos/dephillips_christopher_2020_250.jpg","Assemblyman Christopher P. DePhillips (R)"
313,"DiMaio","John",,,"DiMaio, John","November 27, 1955",,"State House Commission, 2017-present; Warren County Board of Freeholders 2000-09, Director 2008, 2001; Town of Hackettstown, Mayor 1991-99, Councilman 1980-1990","General Assembly 2009-present, Minority Leader 2022-present, Co-Conference Leader 2020-2021, Budget Officer 2018-2019, Appropriations Officer 2012-2017","Legislator",,"http://www.njleg.state.nj.us/members/memberphotos/dimaio_john_2020_250.jpg","Assemblyman John DiMaio (R)"
387,"Diegnan","Patrick","J.","Jr.","Diegnan, Patrick J.","March 19, 1949","B.A. Seton Hall University (Political Science/Government)<br>
J.D. Seton Hall University School of Law",,"Senate 2016-present; General Assembly 2002-16, Deputy Speaker 2008-16, Parliamentarian 2006-16","Attorney",,"http://www.njleg.state.nj.us/members/memberphotos/diegnan_patrick_2022_250.jpg","Senator Patrick J. Diegnan, Jr. (D)"
468,"Donlon","Margie",,"M.D.","Donlon, Margie",,"B.S. Middlebury College<br>
M.P.H. Yale University<br>
M.D. University of Rochester School of Medicine","Township of Ocean Deputy Mayor 2022-2023, Councilwoman 2019-2023","General Assembly 2024-present","Physical Medicine and Rehab Physician, Orthocenter",,"http://www.njleg.state.nj.us/members/memberphotos/donlon_margie_2024.jpg","Assemblywoman Margie Donlon (D)"
472,"Drulis","Mitchelle",,,"Drulis, Mitchelle",,"B.A. Rutgers University","U.S. House of Representatives, District Director 2019-2023; Office of Assemblyman Joseph V. Egan, Chief of Staff 2002-2013; Office of Assemblyman Bob Smith, Legislative Aide 2000-2002","General Assembly 2024-present","Small Business Owner",,"http://www.njleg.state.nj.us/members/memberphotos/drulis_mitchelle_2024.jpg","Assemblywoman Mitchelle Drulis (D)"
428,"Dunn","Aura","K.",,"Dunn, Aura K.",,"B.A. State University of New York at Buffalo (Sociology)<br>
M.P.A. The George Washington University","U.S. House of Representatives, District Director 2016-2019; U.S. Senate Appropriations Committee, Budget Analyst 1999-2001; U.S. House of Representatives, Professional Staff 1995-1997","General Assembly 2020-present, 2019, Assistant Minority Whip 2024-present","Legislator",,"http://www.njleg.state.nj.us/members/memberphotos/dunn_aura_2020_250.jpg","Assemblywoman Aura Dunn (R)"
495,"Egan","Kevin","P.",,"Egan, Kevin P.","June 2, 1964","B.A Rutgers University (Labor Studies and Employment Relations)<br>
IBEW Certified Apprenticeship Program","Rutgers University Board of Governors 2021-present; City of New Brunswick Council 2011-2023; New Jersey Schools Development Authority, 2010-2020; Office of Assemblyman Joseph V. Egan, Legislative Aide 2001-2004","General Assembly 2024-present","Assistant Business Manager, IBEW Local 456",,"http://www.njleg.state.nj.us/members/memberphotos/egan_kevin_2024.jpg","Assemblyman Kevin P. Egan (D)"
333,"Kean","Sean","T.",,"Kean, Sean T.","May 21, 1963","B.A. Seton Hall University (Political Science)<br>
M.A.L.S. Columbia University (American Studies)<br>
J.D. Seton Hall University School of Law","Wall Township Planning Board 2001-02; Monmouth County Environmental Council 1999-2001","General Assembly 2012-present; Senate 2008-11; General Assembly 2002-07, Assistant Whip 2004-07","Attorney, Private Practice",,"http://www.njleg.state.nj.us/members/memberphotos/kean_sean_2020_250.jpg","Assemblyman Sean T. Kean (R)"
381,"Kennedy","James","J.",,"Kennedy, James J.","February 9, 1953",,"City of Rahway Mayor 1991-2010","General Assembly 2016-present","Principal, Skye Consulting L.L.C.",,"http://www.njleg.state.nj.us/members/memberphotos/kennedy_james_2024.jpg","Assemblyman James J. Kennedy (D)"
411,"Lagana","Joseph","A.",,"Lagana, Joseph A.","December 15, 1978","B.A. Fordham University (History)<br>
J.D. Thomas M. Cooley Law School","Borough of Paramus Council President 2012-13","Senate 2018-present; General Assembly 2014-2018, Deputy Parliamentarian 2016-2017","Attorney, Cleary, Giacobbe, Alfieri & Jacobs, L.L.C.",,"http://www.njleg.state.nj.us/members/memberphotos/lagana_joseph_2020_250.jpg","Senator Joseph Lagana (D)"
251,"Lampitt","Pamela","R.",,"Lampitt, Pamela R.","December 19, 1960","A.S. Johnson and Wales College (Culinary Science)","Cherry Hill Township Council 2004-06; Cherry Hill Zoning Board 2003-04","General Assembly 2006-present, Deputy Speaker 2012-present","Director of Business and Hospitality Services, University of Pennsylvania",,"http://www.njleg.state.nj.us/members/memberphotos/lampitt_pamela_2017.jpg","Assemblywoman Pamela R. Lampitt (D)"
401,"Lopez","Yvonne",,,"Lopez, Yvonne","July 28, 1957","Rutgers University","N.J. Democratic State Committee 2016-present; Supreme Court of N.J. District VIII Ethics Committee 2015-17; North Brunswick Zoning Board 2011; Perth Amboy Business Improvement District Member 2011-15","General Assembly 2018-present, Deputy Speaker 2022-present, Member N.J. Legislative Latino Caucus; Member National Hispanic Caucus of State Legislators, Latino Voting and Elections Task Force Chair","Legislator",,"http://www.njleg.state.nj.us/members/memberphotos/lopez_yvonne_2017_250.jpg","Assemblywoman Yvonne Lopez (D)"
