"CommHouse","Date","Time","Type","Action","LastName","FirstName","MiddleName","Position","Term","Resides_At","ModDate"
"S","1/14/2025","01:00 PM","Session","Referred To Committee","Abdou","Marian"," ","to be a member of the New Jersey Board of Public Utilities","to succeed herself, for the term prescribed by law, currently set to expire October 3, 2030.","Basking Ridge",1/14/2025 0:00:00
"S","12/22/2025","01:00 PM","Session","Withdrawn","Abdou","Marian"," ","to be a member of the New Jersey Board of Public Utilities","to succeed herself, for the term prescribed by law, currently set to expire October 3, 2030.","Basking Ridge",12/22/2025 0:00:00
"SJU","6/13/2024","10:00 AM","Meeting","Interviewed","Acquaviva","Gregory","L.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Freehold",5/31/2024 0:00:00
"S","3/18/2024","11:00 AM","Session","Referred To Committee","Acquaviva","Gregory","L.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Freehold",3/18/2024 0:00:00
"S","6/13/2024","12:00 PM","Quorum","Reported From Committee","Acquaviva","Gregory","L.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Freehold",6/13/2024 0:00:00
"S","6/28/2024","02:00 PM","Session","Advise and Consent","Acquaviva","Gregory","L.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Freehold",6/28/2024 0:00:00
"S","12/8/2025","12:00 AM","Quorum","Referred To Committee","Adelman","Sarah"," ","to be a member of the Board of Directors of University Hospital","to replace Annette Catino, for the term prescribed by law.","Moorestown",12/8/2025 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Adelman","Sarah"," ","to be a member of the Board of Directors of University Hospital","to replace Annette Catino, for the term prescribed by law.","Moorestown",1/12/2026 0:00:00
"S","1/8/2026","12:00 PM","Quorum","Reported From Committee","Adelman","Sarah"," ","to be a member of the Board of Directors of University Hospital","to replace Annette Catino, for the term prescribed by law.","Moorestown",1/8/2026 0:00:00
"SJU","1/8/2026","10:00 AM","Meeting","Interviewed","Adelman","Sarah"," ","to be a member of the Board of Directors of University Hospital","to replace Annette Catino, for the term prescribed by law.","Moorestown",12/30/2025 0:00:00
"SJU","1/12/2026","10:00 AM","Meeting","Interviewed","Adrignolo","Adam","J.","to be a Judge of the Superior Court","to succeed the Honorable Randal C. Chiocca, J.S.C., following his retirement, for the term prescribed by law.","Montville",1/11/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Adrignolo","Adam","J.","to be a Judge of the Superior Court","to succeed the Honorable Randal C. Chiocca, J.S.C., following his retirement, for the term prescribed by law.","Montville",1/12/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Reported From Committee","Adrignolo","Adam","J.","to be a Judge of the Superior Court","to succeed the Honorable Randal C. Chiocca, J.S.C., following his retirement, for the term prescribed by law.","Montville",1/12/2026 0:00:00
"S","10/27/2025","12:00 PM","Quorum","Referred To Committee","Adrignolo","Adam","J.","to be a Judge of the Superior Court","to succeed the Honorable Randal C. Chiocca, J.S.C., following his retirement, for the term prescribed by law.","Montville",10/27/2025 0:00:00
