"District","House","LastName","Firstname","MidName","Suffix","Sex","Title","LegPos","LegStatus","Party","Race","Address","City","State","Zipcode","Phone","Email","Roster Key"
1,"S","Testa","Michael","L.","Jr.","M",,"Republican Whip","Active","R",,"610 East Landis Avenue","Vineland","NJ","08360","(609) 778-2012",,424
1,"A","McClellan","Antwan","L.",,"M",,"Deputy Minority Leader","Active","R",,"School House Office Park, 211 South Main Street, Suite 104","Cape May Court House","NJ","08210","(609) 778-2012",,425
1,"A","Simonsen","Erik","K.",,"M",,,"Active","R",,"School House Office Park, 211 South Main Street, Suite 104","Cape May Court House","NJ","08210","(609) 778-2012",,426
2,"S","Polistina","Vincent","J.",,"M",,"Deputy Conference Leader","Active","R",,"3100 Hingston Avenue, Suite 101","Egg Harbor Township","NJ","08234","(609) 677-8266",,432
2,"A","Guardian","Donald","A.",,"M",,"Assistant Minority Whip","Active","R",,"3100 Hingston Avenue, Suite 101","Egg Harbor Township","NJ","08234","(609) 677-8266",,437
2,"A","Swift","Claire","S.",,"F",,,"Active","R",,"3100 Hingston Avenue, Suite 101","Egg Harbor Township","NJ","08234","(609) 677-8266",,438
3,"S","Burzichelli","John","J.",,"M",,,"Active","D",,"711 North Main Street","Glassboro","NJ","08028","(856) 226-3530",,458
3,"A","Bailey","David",,"Jr.","M",,,"Active","D",,"711 North Main Street","Glassboro","NJ","08028","(856) 226-3530",,459
3,"A","Simmons","Heather",,,"F",,,"Active","D",,"711 North Main Street","Glassboro","NJ","08028","(856) 226-3530",,460
4,"S","Moriarty","Paul","D.",,"M",,,"Active","D",,"129 Johnson Road, Suite 1","Turnersville","NJ","08012","(856) 232-6700",,461
4,"A","Hutchison","Dan",,,"M",,,"Active","D",,"1379 Chews Landing Road","Laurel Springs","NJ","08021","(856) 401-3073",,462
4,"A","Miller","Cody","D.",,"M",,,"Active","D",,"129 Johnson Road, Suite 1","Turnersville","NJ","08012","(856) 232-6700",,463
5,"S","Cruz-Perez","Nilsa","I.",,"F",,,"Active","D",,"231-L Market Street","Camden","NJ","08102","(856) 541-1251",,371
5,"A","Spearman","William","W.",,"M",,,"Active","D",,"608 North Broad Street, Suite 200","Woodbury","NJ","08096","(856) 853-2960",,415
5,"A","Moen","William","F.","Jr.","M",,"Deputy Majority Leader","Active","D",,"208 White Horse Pike, Suite 13","Barrington","NJ","08007","(856) 547-4800",,420
6,"S","Beach","James",,,"M",,"Deputy Majority Whip","Active","D",,"221 Laurel Road, Suite 105","Voorhees","NJ","08043","(856) 429-1572",,310
6,"A","Greenwald","Louis","D.",,"M",,"Majority Leader","Active","D",,"1101 Laurel Oak Road, Suite 150","Voorhees","NJ","08043","(856) 435-1247",,155
6,"A","Lampitt","Pamela","R.",,"F",,"Deputy Speaker","Resigned","D",,"1101 Laurel Oak Road, Suite 150","Voorhees","NJ","08043","(856) 435-1247",,251
6,"A","Kane","Melinda",,,"F",,,"Active","D",,"1101 Laurel Oak Road, Suite 150","Voorhees","NJ","08043","(856) 435-1247",,497
7,"S","Singleton","Troy",,,"M",,"Majority Caucus Chair","Active","D",,"400 North Church Street, Suite 260","Moorestown","NJ","08057","(856) 234-2790",,395
7,"A","Murphy","Carol","A.",,"F",,"Majority Whip","Active","D",,"750 Centerton Road","Mount Laurel","NJ","08054","(856) 242-2018",,397
