"SubjAbbrev","SubOrTopic","Description","Parent","ModDate"
"ABORTION","S","ABORTION",,11/22/1993 0:00:00
"ADOPTION","S","CHILDREN - ADOPTION",,11/13/2009 0:00:00
"AFFORD HOUS","S","HOUSING - AFFORDABLE HOUSING",,11/22/1993 0:00:00
"AGRICULTURE","S","AGRICULTURE",,11/22/1993 0:00:00
"ALCO TAXES","S","TAXATION - ALCOHOL, GASOLINE AND TOBACCO TAXES",,11/22/1993 0:00:00
"ALCOHOLIC BE","S","ALCOHOLIC BEVERAGES",,11/22/1993 0:00:00
"ANIMAL CRUEL","S","ANIMALS - CRUELTY AND WELFARE",,11/13/2009 0:00:00
"ANIMAL LIC","S","ANIMALS - CONTROL AND LICENSING",,11/13/2009 0:00:00
"ANIMALS","S","ANIMALS",,11/22/1993 0:00:00
"ARTS AND CUL","S","ARTS AND CULTURE",,11/22/1993 0:00:00
"AUTH - INTER","S","AUTHORITIES - INTERSTATE",,11/22/1993 0:00:00
"AUTH - LOCAL","S","AUTHORITIES - LOCAL",,11/22/1993 0:00:00
"AUTH - STATE","S","AUTHORITIES - STATE AND REGIONAL",,11/22/1993 0:00:00
"AUTO INSUR","S","INSURANCE - AUTOMOBILE INSURANCE",,11/22/1993 0:00:00
"AVIATION","S","AVIATION",,11/22/1993 0:00:00
"BANKING","S","BANKING AND FINANCE",,11/22/1993 0:00:00
"BEACHES","S","ENVIRONMENT - BEACHES AND SHORES",,11/13/2009 0:00:00
"BOATS","S","BOATS AND BOAT SAFETY",,11/13/2009 0:00:00
"BONDS","S","BONDS",,11/22/1993 0:00:00
"BUS TAXES","S","TAXATION - BUSINESS TAXES",,11/22/1993 0:00:00
"CAMP FINANCE","S","ELECTIONS - CAMPAIGN FINANCE",,11/22/1993 0:00:00
"CASINOS","S","GAMBLING - CASINOS",,11/22/1993 0:00:00
"CHARITABLE","S","CIVIL ACTIONS - CHARITABLE IMMUNITY",,11/16/2009 0:00:00
"CHARITIES","S","CHARITIES AND NON PROFIT ORGANIZATIONS",,11/22/1993 0:00:00
"CHILD ABUSE","S","CHILDREN - CHILD ABUSE",,11/13/2009 0:00:00
"CHILD CUSTOD","S","DOMESTIC RELATIONS - CHILD CUSTODY AND VISITATION",,11/13/2009 0:00:00
"CHILD SUPPOR","S","CHILD SUPPORT",,11/13/2009 0:00:00
"CHILDREN","S","CHILDREN",,11/13/2009 0:00:00
"CIVIL ACTION","S","CIVIL ACTIONS",,11/22/1993 0:00:00
"CIVIL RIGHTS","S","CIVIL RIGHTS",,11/22/1993 0:00:00
"CIVIL SVC","S","CIVIL SERVICE",,11/13/2009 0:00:00
"COM VEHICLES","S","MOTOR VEHICLES - COMMERCIAL",,11/22/1993 0:00:00
"COMMEMORATIO","S","COMMEMORATIONS",,11/22/1993 0:00:00
"COMMERCE","S","COMMERCE",,11/13/2009 0:00:00
"COMMISSIONS","S","COMMISSIONS",,11/22/1993 0:00:00
"COMMUNICATIO","S","COMMUNICATIONS",,11/22/1993 0:00:00
"COMMUNITY DE","S","COMMUNITY DEVELOPMENT",,11/13/2009 0:00:00
"CONDOS","S","HOUSING - CONDOMINIUMS, COOPERATIVES AND MOBILE HOMES",,11/22/1993 0:00:00
"CONSERVATION","S","ENERGY - CONSERVATION",,11/13/2009 0:00:00
"CONSTITUTION","S","CONSTITUTIONAL AMENDMENTS",,11/22/1993 0:00:00
"CONSTR CODES","S","HOUSING - CONSTRUCTION CODES",,11/22/1993 0:00:00
"CONSUMER AFF","S","CONSUMER AFFAIRS",,11/22/1993 0:00:00
"CONSUMER FIN","S","BANKING AND FINANCE - CONSUMER FINANCE",,11/13/2009 0:00:00
"CONSUMER PRO","S","CONSUMER AFFAIRS - CONSUMER PROTECTION",,11/13/2009 0:00:00
"CONSUMER RIG","S","COMMUNICATIONS - CONSUMER RIGHTS AND PRIVACY",,11/13/2009 0:00:00
"CORPORATIONS","S","CORPORATIONS",,11/22/1993 0:00:00
"CORRECTIONS","S","CORRECTIONS",,11/22/1993 0:00:00
"COUNTIES","S","LOCAL GOVERNMENT - COUNTIES",,11/22/1993 0:00:00
